,id,response_mode,id,url,name,families,full_name,variant
89,7752,list,164,https://lldev.thespacedevs.com/2.3.0/launcher_configurations/164/,Falcon 9,"[{'response_mode': 'list', 'id': 1, 'name': 'Falcon'}, {'response_mode': 'list', 'id': 176, 'name': 'Falcon 9'}]",Falcon 9 Block 5,Block 5
90,8705,list,156,https://lldev.thespacedevs.com/2.3.0/launcher_configurations/156/,Long March 2C/YZ-1S,"[{'response_mode': 'list', 'id': 106, 'name': 'Long March'}, {'response_mode': 'list', 'id': 109, 'name': 'Long March 2'}]",Long March 2C/YZ-1S,C/YZ-1S
91,8706,list,164,https://lldev.thespacedevs.com/2.3.0/launcher_configurations/164/,Falcon 9,"[{'response_mode': 'list', 'id': 1, 'name': 'Falcon'}, {'response_mode': 'list', 'id': 176, 'name': 'Falcon 9'}]",Falcon 9 Block 5,Block 5
92,8685,list,137,https://lldev.thespacedevs.com/2.3.0/launcher_configurations/137/,New Shepard,[],New Shepard,
93,8704,list,164,https://lldev.thespacedevs.com/2.3.0/launcher_configurations/164/,Falcon 9,"[{'response_mode': 'list', 'id': 1, 'name': 'Falcon'}, {'response_mode': 'list', 'id': 176, 'name': 'Falcon 9'}]",Falcon 9 Block 5,Block 5
94,8707,list,164,https://lldev.thespacedevs.com/2.3.0/launcher_configurations/164/,Falcon 9,"[{'response_mode': 'list', 'id': 1, 'name': 'Falcon'}, {'response_mode': 'list', 'id': 176, 'name': 'Falcon 9'}]",Falcon 9 Block 5,Block 5
95,8523,list,164,https://lldev.thespacedevs.com/2.3.0/launcher_configurations/164/,Falcon 9,"[{'response_mode': 'list', 'id': 1, 'name': 'Falcon'}, {'response_mode': 'list', 'id': 176, 'name': 'Falcon 9'}]",Falcon 9 Block 5,Block 5
96,8711,list,26,https://lldev.thespacedevs.com/2.3.0/launcher_configurations/26/,Electron,[],Electron,
97,8719,list,484,https://lldev.thespacedevs.com/2.3.0/launcher_configurations/484/,Smart Dragon 3,"[{'response_mode': 'list', 'id': 145, 'name': 'Smart Dragon'}]",Smart Dragon 3,
98,7456,list,164,https://lldev.thespacedevs.com/2.3.0/launcher_configurations/164/,Falcon 9,"[{'response_mode': 'list', 'id': 1, 'name': 'Falcon'}, {'response_mode': 'list', 'id': 176, 'name': 'Falcon 9'}]",Falcon 9 Block 5,Block 5
99,8713,list,164,https://lldev.thespacedevs.com/2.3.0/launcher_configurations/164/,Falcon 9,"[{'response_mode': 'list', 'id': 1, 'name': 'Falcon'}, {'response_mode': 'list', 'id': 176, 'name': 'Falcon 9'}]",Falcon 9 Block 5,Block 5
